pop_size,init_infected,beta,gamma,incubation_pr,hosp_rate,test_percentage,max_hospital
1000,50,0.1,0.05,0.2,0.2,0.07711937241758555,37.6
1000,50,0.1,0.05,0.2,0.2,0.285319319045756,37.2
1000,50,0.1,0.05,0.2,0.2,0.03915078627094109,39.9
1000,50,0.1,0.05,0.2,0.2,0.002941468478598708,41.2
1000,50,0.1,0.05,0.2,0.2,0.17231223747259033,38.6
1000,50,0.1,0.05,0.2,0.2,0.3612527772504589,36.7
1000,50,0.1,0.05,0.2,0.2,0.1396171461387723,39.7
1000,50,0.1,0.05,0.2,0.2,0.2133476114269036,38.7
1000,50,0.1,0.05,0.2,0.2,0.09512120269607736,39.3
1000,50,0.1,0.05,0.2,0.2,0.16125916714858354,39.0
1000,50,0.1,0.05,0.2,0.2,0.3977564406321352,37.5
1000,50,0.1,0.05,0.2,0.2,0.39977551008235546,34.7
1000,50,0.1,0.05,0.2,0.2,0.004265965798874616,43.0
1000,50,0.1,0.05,0.2,0.2,0.3998386608261489,33.9
1000,50,0.1,0.05,0.2,0.2,0.003970650109591789,44.9
1000,50,0.1,0.05,0.2,0.2,0.3999632903147552,35.0
1000,50,0.1,0.05,0.2,0.2,0.0009765774048993148,45.4
1000,50,0.1,0.05,0.2,0.2,0.0005893776651406668,46.3
1000,50,0.1,0.05,0.2,0.2,0.3228231104354358,38.2
1000,50,0.1,0.05,0.2,0.2,0.2438783777240809,38.2
1000,50,0.1,0.05,0.2,0.10132625634258649,0.14881968930349337,32.4
1000,50,0.1,0.05,0.2,0.06646067410817438,0.1925835675265905,24.7
1000,50,0.1,0.05,0.2,0.12217485000558416,0.1253383674460063,35.1
1000,50,0.1,0.05,0.2,0.06177488177621508,0.05016590719956211,34.3
1000,50,0.1,0.05,0.2,0.09180947508640469,0.17852717839867455,29.6
1000,50,0.1,0.05,0.2,0.1922531204642824,0.045365182689386586,39.5
1000,50,0.1,0.05,0.2,0.18593421020798656,0.1516530477932696,40.2
1000,50,0.1,0.05,0.2,0.09627482986934023,0.17674580077060148,34.0
1000,50,0.1,0.05,0.2,0.09238073803085485,0.00133983591439526,42.2
1000,50,0.1,0.05,0.2,0.15715853980936784,0.12628278147916214,37.7
1000,50,0.1,0.05,0.2,0.1781958260818689,0.12702181959520045,37.9
1000,50,0.1,0.05,0.2,0.12756292230466715,0.04297104019118519,41.4
1000,50,0.1,0.05,0.2,0.18246549277907675,0.1462572680864027,40.1
1000,50,0.1,0.05,0.2,0.1014756882498549,0.1363055019794238,31.2
1000,50,0.1,0.05,0.2,0.15702215999898883,0.08700044501572607,36.0
1000,50,0.1,0.05,0.2,0.14313586530525607,0.17332287742437974,35.8
1000,50,0.1,0.05,0.2,0.19273985001806831,0.11360787305921333,39.5
1000,50,0.1,0.05,0.2,0.1582303369397509,0.15914767333879118,35.7
1000,50,0.1,0.05,0.2,0.050086675489358495,0.10000338039111932,25.4
1000,50,0.1,0.05,0.2,0.12812943363740387,0.12190492427147359,34.7
1000,50,0.1,0.05,0.2,0.13917379507414712,0.1585890877241629,36.9
1000,50,0.1,0.05,0.2,0.15265057672168736,0.16625925810213488,35.4
1000,50,0.1,0.05,0.2,0.11770449585672614,0.12028780957726648,36.9
1000,50,0.1,0.05,0.2,0.113254771588473,0.1578746457431194,33.5
1000,50,0.1,0.05,0.2,0.1726147695046901,0.04119235681221445,39.2
1000,50,0.1,0.05,0.2,0.05652444071734223,0.013253544064291934,40.8
1000,50,0.1,0.05,0.2,0.05070151676920642,0.16052179793316562,24.0
1000,50,0.1,0.05,0.2,0.05090388541580388,0.19816760987980045,23.0
1000,50,0.1,0.05,0.2,0.1210386345546989,0.0035229887986025555,39.2
1000,50,0.1,0.05,0.2,0.1183994055955613,0.1977306399468627,33.0
1000,50,0.1,0.05,0.2,0.09017139607481037,0.07378689641608396,35.3
1000,50,0.1,0.05,0.2,0.05220431135435232,0.009112662363266378,36.9
1000,50,0.1,0.05,0.2,0.1625178522636828,0.0004376642422391664,44.6
1000,50,0.1,0.05,0.2,0.050857121622684145,0.07799330728609924,28.6
1000,50,0.1,0.05,0.2,0.05037908147902623,0.15778828108363283,23.2
1000,50,0.1,0.05,0.2,0.13238609850667293,0.19904475896337354,35.0
1000,50,0.1,0.05,0.2,0.11055908532333267,0.06653308679865351,35.0
1000,50,0.1,0.05,0.2,0.16378612957105404,0.19964539829774688,34.0
1000,50,0.1,0.05,0.2,0.056486800987764846,0.1306355687611526,27.0
1000,50,0.1,0.05,0.2,0.05337021196194852,0.0031081559057672516,42.4
1000,50,0.1,0.05,0.2,0.149761907787478,0.004348099493357194,42.8
1000,50,0.1,0.05,0.2,0.10678220965454152,0.0018014771514844653,40.4
1000,50,0.1,0.05,0.2,0.056113998178965334,0.19773964317257497,25.6
1000,50,0.1,0.05,0.2,0.09389440724744016,0.036891806422037356,38.7
1000,50,0.1,0.05,0.2,0.051023504596114135,0.19755518763039093,22.3
1000,50,0.1,0.05,0.2,0.05327106414690965,0.057000674478240955,30.7
1000,50,0.1,0.05,0.2,0.1464156421989392,0.065879159495969,40.6
1000,50,0.1,0.05,0.2,0.05038357452547344,0.12416538405358846,24.3
1000,50,0.1,0.05,0.2,0.08033623911629176,0.10834770730803792,34.5
1000,50,0.1,0.05,0.2,0.14176580253508214,0.00086706116576456,40.4
